,Join
0,100491
1,117944
2,104062
3,104061
4,98223
5,91538
6,96838
7,100420
8,98651
9,102219
10,93323
11,103144
12,100419
13,103970
14,93334
15,96862
16,102290
17,95066
18,95119
19,95130
20,91664
21,104080
22,95135
23,96827
24,96826
25,100400
26,103975
27,102826
28,103995
29,95654
30,103997
31,93399
32,109235
33,109237
34,91672
35,91661
36,102221
37,91535
38,102239
39,98693
40,96882
41,105794
42,96905
43,91634
44,100468
45,95107
46,95108
47,93408
48,104074
49,98747
50,105788
51,93294
52,95003
53,93293
54,100427
55,103952
56,96828
57,100426
58,103977
59,93344
60,98685
61,104032
62,41822
63,63366
64,63980
65,68812
66,100478
67,48429
68,104069
69,96839
70,42211
71,98666
72,102253
73,45971
74,104081
75,91598
76,112337
77,112338
78,112340
79,100943
80,112341
81,112342
82,112343
83,112346
84,95059
85,99542
86,96896
87,102310
88,104051
89,100508
90,102338
91,112348
92,99503
93,100430
94,96851
95,98695
96,104774
97,96897
98,95074
99,108596
100,108598
101,112350
102,112351
103,113800
104,187785
105,103077
106,187786
107,98750
108,102243
109,112355
110,112356
111,91604
112,104020
113,96907
114,76020
115,95010
116,98644
117,98663
118,100448
119,96878
120,102296
121,93364
122,104052
123,77887
124,93402
125,77888
126,77890
127,96829
128,96941
129,96942
130,96857
131,77893
132,77894
133,91584
134,95027
135,93918
136,95069
137,102240
138,77896
139,91613
140,28791
141,91614
142,96918
143,96920
144,102293
145,104070
146,104071
147,77897
148,77898
149,94997
150,100401
151,76017
152,100431
153,102210
154,98699
155,102250
156,109245
157,103988
158,91582
159,77912
160,77913
161,95037
162,100483
163,105452
164,104086
165,102339
166,91551
167,100422
168,102271
169,95040
170,95073
171,104024
172,97637
173,104007
174,117948
175,117949
176,117951
177,117952
178,24711
179,24713
180,24715
181,98639
182,100402
183,95598
184,105975
185,103983
186,102252
187,95042
188,100443
189,91618
190,93368
191,105418
192,105974
193,96866
194,109251
195,109254
196,100445
197,113805
198,117953
199,117954
200,117955
201,92164
202,117957
203,95594
204,104008
205,112182
206,113809
207,113813
208,117958
209,117959
210,112184
211,113817
212,97471
213,100428
214,98662
215,103982
216,117964
217,117966
218,91602
219,104019
220,104965
221,113821
222,104964
223,93386
224,118464
225,98719
226,102306
227,94561
228,95113
229,99292
230,100484
231,98652
232,102790
233,91585
234,94145
235,103484
236,91607
237,96009
238,97469
239,102311
240,104054
241,95117
242,104877
243,95668
244,96102
245,117967
246,114114
247,91542
248,91555
249,99297
250,97476
251,101904
252,100324
253,102830
254,93235
255,98287
256,117968
257,94131
258,96480
259,96784
260,94677
261,97478
262,98275
263,98589
264,96479
265,95592
266,99299
267,100361
268,94684
269,93417
270,99586
271,99361
272,96846
273,92217
274,96831
275,91455
276,91453
277,93982
278,95706
279,94924
280,96035
281,97734
282,98290
283,98561
284,95711
285,94713
286,98596
287,99417
288,96034
289,100086
290,97744
291,94699
292,98641
293,100092
294,102327
295,100083
296,94966
297,91256
298,98591
299,94992
300,97548
301,96496
302,95104
303,91575
304,98292
305,91252
306,95716
307,96751
308,94931
309,94977
310,98548
311,96512
312,95127
313,91528
314,98549
315,91574
316,92964
317,98544
318,91457
319,92414
320,96813
321,98714
322,99319
323,95115
324,93436
325,100506
326,94721
327,96748
328,101537
329,101516
330,97871
331,100381
332,101785
333,100474
334,102159
335,97909
336,100417
337,102227
338,93331
339,93332
340,92970
341,96730
342,91491
343,103646
344,103903
345,98580
346,93277
347,92425
348,96519
349,77939
350,92410
351,93416
352,93433
353,91666
354,95917
355,96586
356,96594
357,99422
358,93074
359,94922
360,99421
361,94229
362,91357
363,94211
364,98721
365,92162
366,93121
367,92420
368,95086
369,97736
370,94999
371,101327
372,94859
373,93324
374,95777
375,94157
376,94920
377,93246
378,100204
379,100353
380,102038
381,99430
382,91398
383,103916
384,103919
385,104894
386,105490
387,101347
388,93374
389,94150
390,96940
391,98557
392,102940
393,99345
394,91396
395,99339
396,93167
397,100258
398,98490
399,92199
400,100392
401,94035
402,96872
403,95675
404,91621
405,99301
406,95105
407,100444
408,99303
409,101098
410,101110
411,101115
412,95939
413,102321
414,103880
415,101199
416,98514
417,99418
418,100435
419,94515
420,102087
421,101101
422,98683
423,97753
424,96854
425,103953
426,98709
427,92426
428,91416
429,95101
430,101342
431,104872
432,93181
433,99571
434,100270
435,101321
436,103815
437,112396
438,112397
439,117983
440,93401
441,101050
442,91459
443,102218
444,100337
445,94956
446,96007
447,103966
448,112398
449,112399
450,112400
451,112401
452,98495
453,93210
454,100312
455,96744
456,96743
457,103893
458,98573
459,103849
460,100310
461,102150
462,91560
463,97522
464,98661
465,104936
466,93377
467,99618
468,102324
469,103963
470,93965
471,96867
472,96362
473,93949
474,112410
475,112405
476,112406
477,96815
478,100297
479,102300
480,96736
481,92227
482,99570
483,99360
484,98730
485,100338
486,101100
487,102213
488,96697
489,100450
490,93340
491,94895
492,94896
493,94959
494,102203
495,103098
496,91425
497,93183
498,95947
499,94913
500,91443
501,97727
502,93163
503,94176
504,94879
505,95976
506,93415
507,96754
508,98751
509,102154
510,102174
511,102183
512,98704
513,94520
514,100268
515,101416
516,95122
517,99355
518,102260
