,SegID
0,65539
1,32775
2,32779
3,32780
4,32784
5,32785
6,196626
7,32787
8,32789
9,32790
10,32791
11,32792
12,32793
13,32794
14,32795
15,32797
16,65566
17,32799
18,65567
19,32798
20,32802
21,98338
22,229411
23,32807
24,196647
25,32811
26,44
27,32813
28,32814
29,32815
30,196657
31,98354
32,196663
33,56
34,32824
35,196664
36,32828
37,32830
38,32831
39,131137
40,163908
41,32841
42,32842
43,32845
44,32848
45,65617
46,32850
47,32851
48,32857
49,32858
50,32859
51,94
52,262241
53,262242
54,65633
55,262248
56,163946
57,262252
58,163948
59,32880
60,131185
61,163961
62,163962
63,98429
64,98431
65,98432
66,262276
67,138
68,139
69,196749
70,32914
71,65683
72,163990
73,164001
74,65698
75,161
76,32932
77,65702
78,164007
79,262311
80,32937
81,32939
82,32940
83,32941
84,32942
85,32943
86,32945
87,32947
88,164022
89,32950
90,32952
91,32953
92,164026
93,32951
94,196806
95,98507
96,98512
97,65745
98,98518
99,196826
100,65754
101,65755
102,98526
103,131301
104,32999
105,98536
106,33001
107,33004
108,98540
109,98541
110,33007
111,262380
112,33009
113,262384
114,262387
115,33012
116,164078
117,33006
118,33010
119,65785
120,33018
121,65788
122,131327
123,131330
124,33028
125,33029
126,131332
127,33031
128,98571
129,131341
130,98574
131,98575
132,33042
133,65815
134,65819
135,65820
136,33053
137,65824
138,98592
139,65826
140,65825
141,65829
142,33064
143,65832
144,65838
145,302
146,33079
147,164153
148,262460
149,164159
150,131397
151,33098
152,33100
153,65870
154,65871
155,33102
156,164177
157,339
158,65878
159,65880
160,164185
161,65882
162,33115
163,33116
164,33117
165,33118
166,33119
167,33112
168,33121
169,164194
170,33123
171,33124
172,131430
173,65894
174,33128
175,33129
176,131432
177,131433
178,65901
179,229741
180,164212
181,262518
182,65911
183,65914
184,98683
185,65917
186,65919
187,33152
188,33155
189,229769
190,229770
191,33164
192,164236
193,33166
194,33167
195,65934
196,33169
197,98706
198,33170
199,33172
200,33173
201,164254
202,33184
203,164257
204,33186
205,164260
206,164263
207,65960
208,33198
209,65967
210,65972
211,65974
212,65975
213,164280
214,164284
215,33212
216,164286
217,164289
218,33218
219,164292
220,65988
221,164295
222,458
223,164299
224,262604
225,98765
226,164302
227,164301
228,164304
229,65996
230,164306
231,262611
232,262612
233,66004
234,262614
235,164311
236,131544
237,66008
238,66003
239,66009
240,66010
241,66013
242,66014
243,33246
244,66016
245,164321
246,33248
247,131555
248,33255
249,164329
250,131564
251,131565
252,164333
253,197103
254,164335
255,197105
256,33260
257,66035
258,66036
259,501
260,131574
261,164343
262,502
263,164341
264,262650
265,509
266,33278
267,33280
268,164356
269,164359
270,98825
271,98826
272,33290
273,33291
274,65233
275,33295
276,33297
277,531
278,66068
279,33305
280,542
281,66083
282,547
283,164405
284,66106
285,164411
286,98876
287,197181
288,66110
289,66111
290,66112
291,131643
292,131684
293,131685
294,131686
295,131687
296,164455
297,98917
298,164461
299,98926
300,131695
301,98927
302,33393
303,33395
304,66164
305,33397
306,131705
307,131708
308,131709
309,66174
310,33411
311,33413
312,131739
313,131742
314,131747
315,66214
316,66215
317,66216
318,33451
319,33464
320,33471
321,164556
322,724
323,735
324,131810
325,99045
326,99047
327,66289
328,99057
329,9011956
330,99062
331,9011960
332,66303
333,33539
334,33540
335,66309
336,164614
337,66313
338,66314
339,33547
340,164620
341,33549
342,788
343,164628
344,164630
345,164632
346,9012002
347,9012004
348,66341
349,33583
350,164674
351,131907
352,33615
353,99163
354,33638
355,33639
356,131949
357,33645
358,33646
359,33649
360,33650
361,66420
362,33653
363,164726
364,33652
365,33656
366,66424
367,164734
368,164736
369,131989
370,66455
371,66457
372,66460
373,131997
374,131998
375,66461
376,132000
377,33696
378,66465
379,33699
380,164775
381,66472
382,164785
383,66483
384,9012150
385,66487
386,132024
387,9012152
388,164796
389,164798
390,9012161
391,164804
392,164806
393,9012168
394,164811
395,972
396,973
397,164814
398,975
399,164816
400,33750
401,33758
402,33760
403,132086
404,164862
405,132095
406,132097
407,33795
408,164868
409,164869
410,33798
411,164871
412,33796
413,164874
414,33804
415,33808
416,33809
417,33811
418,33813
419,33814
420,164888
421,9012249
422,66587
423,9012251
424,164893
425,33821
426,33823
427,33825
428,33826
429,33828
430,33829
431,164901
432,66607
433,33840
434,33839
435,164915
436,132148
437,33844
438,33846
439,33848
440,33850
441,66626
442,33860
443,230468
444,66630
445,66633
446,66634
447,33867
448,33865
449,66637
450,66638
451,66641
452,33876
453,33879
454,33882
455,33883
456,33884
457,33886
458,33891
459,33892
460,33894
461,164967
462,33898
463,33899
464,33901
465,164975
466,164976
467,33905
468,33909
469,33912
470,33913
471,33915
472,33919
473,33921
474,33923
475,33925
476,132231
477,33927
478,33929
479,33930
480,33931
481,165004
482,33933
483,33935
484,33937
485,33938
486,33939
487,33941
488,33943
489,33945
490,33947
491,33949
492,33951
493,33952
494,33953
495,33954
496,33955
497,33956
498,165032
499,33962
500,33964
501,33968
502,33969
503,33977
504,33979
505,33982
506,33983
507,165056
508,66754
509,33987
510,165061
511,33992
512,33995
513,165067
514,66763
515,66767
516,34000
517,99542
518,99545
519,99546
520,34013
521,34017
522,34019
523,9012452
524,34022
525,9012455
526,263398
527,34027
528,34029
529,34031
530,66799
531,99577
532,34042
533,165116
534,165118
535,34046
536,34047
537,34048
538,34050
539,99582
540,34052
541,165120
542,34053
543,34060
544,34061
545,132368
546,34067
547,9012502
548,9012504
549,34073
550,34074
551,66843
552,66845
553,34078
554,34079
555,66849
556,165155
557,165156
558,34084
559,165160
560,66857
561,66856
562,34089
563,66860
564,66861
565,34095
566,165168
567,34098
568,66871
569,34104
570,34106
571,230717
572,34110
573,66878
574,66880
575,34113
576,9012545
577,34114
578,34116
579,34117
580,66886
581,34118
582,34120
583,34122
584,34123
585,34124
586,34127
587,34129
588,165202
589,34134
590,34141
591,34153
592,34156
593,165229
594,66926
595,66925
596,34160
597,34170
598,66939
599,34172
600,34173
601,230784
602,34178
603,34179
604,165252
605,34180
606,99719
607,1416
608,99721
609,132490
610,34186
611,34188
612,34189
613,34192
614,34197
615,34199
616,34203
617,34206
618,66978
619,34211
620,34212
621,165284
622,34214
623,132519
624,132520
625,132521
626,165289
627,165291
628,165286
629,165287
630,34218
631,34220
632,66987
633,34228
634,66997
635,165305
636,132541
637,34238
638,34243
639,230852
640,1477
641,34246
642,9012681
643,165324
644,132557
645,230862
646,34257
647,34262
648,34264
649,1500
650,132595
651,67067
652,165376
653,34307
654,34309
655,132615
656,165384
657,165386
658,165391
659,132625
660,132626
661,9012755
662,165394
663,165398
664,9012759
665,165400
666,67098
667,67100
